pref,all,male,female
北海道,22.25,32.66,12.91
青森県,23.76,35.55,13.15
岩手県,27.47,41.09,14.92
宮城県,20.92,28.90,13.35
秋田県,26.85,38.06,16.87
山形県,24.66,35.68,14.48
福島県,22.72,32.96,13.00
茨城県,20.49,28.83,12.14
栃木県,22.78,31.80,13.85
群馬県,25.65,35.33,16.21
埼玉県,21.05,28.01,14.04
千葉県,19.65,27.68,11.62
東京都,21.01,27.79,14.39
神奈川県,17.70,24.63,10.75
新潟県,26.94,36.99,17.50
富山県,24.20,33.11,15.89
石川県,19.26,27.64,11.46
福井県,18.01,27.26,9.33
山梨県,23.61,32.64,14.96
長野県,19.21,27.49,11.34
岐阜県,19.73,27.41,12.49
静岡県,20.34,29.42,11.50
愛知県,20.37,27.41,13.31
三重県,20.68,29.47,12.30
滋賀県,22.05,30.31,14.03
京都府,19.33,27.30,11.97
大阪府,18.35,24.98,12.11
兵庫県,20.49,28.43,13.16
奈良県,17.15,24.04,10.87
和歌山県,20.76,29.30,13.07
鳥取県,21.41,33.83,10.07
島根県,26.08,38.23,15.01
岡山県,17.68,24.75,11.10
広島県,21.65,30.89,13.00
山口県,19.76,31.99,8.78
徳島県,22.68,34.22,12.17
香川県,20.48,28.77,12.79
愛媛県,23.26,33.91,13.70
高知県,23.41,34.89,13.23
福岡県,22.02,32.24,12.78
佐賀県,20.51,31.70,10.45
長崎県,21.65,33.62,11.08
熊本県,20.11,29.13,12.04
大分県,22.18,33.97,11.56
宮崎県,23.21,34.15,13.44
鹿児島県,23.69,36.18,12.63
沖縄県,18.92,29.10,9.04
